"Name","File"
"Colonna MT (TrueType)","COLONNA.TTF"
"Comic Sans MS (TrueType)","comic.ttf"
"Comic Sans MS Bold (TrueType)","comicbd.ttf"
"Comic Sans MS Bold Italic (TrueType)","comicz.ttf"
"Comic Sans MS Italic (TrueType)","comici.ttf"
"Consolas (TrueType)","consola.ttf"
"Consolas Bold (TrueType)","consolab.ttf"
"Consolas Bold Italic (TrueType)","consolaz.ttf"
"Consolas Italic (TrueType)","consolai.ttf"
"Constantia (TrueType)","constan.ttf"
"Constantia Bold (TrueType)","constanb.ttf"
"Constantia Bold Italic (TrueType)","constanz.ttf"
"Constantia Italic (TrueType)","constani.ttf"
"Cooper Black (TrueType)","COOPBL.TTF"
"Copperplate Gothic Bold (TrueType)","COPRGTB.TTF"
"Copperplate Gothic Light (TrueType)","COPRGTL.TTF"
"Corbel (TrueType)","corbel.ttf"
"Corbel Bold (TrueType)","corbelb.ttf"
"Corbel Bold Italic (TrueType)","corbelz.ttf"
"Corbel Italic (TrueType)","corbeli.ttf"
"Corbel Light (TrueType)","corbell.ttf"
"Corbel Light Italic (TrueType)","corbelli.ttf"
"Courier New (TrueType)","cour.ttf"
"Courier New Bold (TrueType)","courbd.ttf"
"Courier New Bold Italic (TrueType)","courbi.ttf"
"Courier New Italic (TrueType)","couri.ttf"
"Curlz MT (TrueType)","CURLZ___.TTF"
"Dubai Bold (TrueType)","DUBAI-BOLD.TTF"
"Dubai Light (TrueType)","DUBAI-LIGHT.TTF"
"Dubai Medium (TrueType)","DUBAI-MEDIUM.TTF"
"Dubai Regular (TrueType)","DUBAI-REGULAR.TTF"
"Ebrima (TrueType)","ebrima.ttf"
"Ebrima Bold (TrueType)","ebrimabd.ttf"
"Edwardian Script ITC (TrueType)","ITCEDSCR.TTF"
"Elephant (TrueType)","ELEPHNT.TTF"
"Elephant Italic (TrueType)","ELEPHNTI.TTF"
"Engravers MT (TrueType)","ENGR.TTF"
"Eras Bold ITC (TrueType)","ERASBD.TTF"
"Eras Demi ITC (TrueType)","ERASDEMI.TTF"
"Eras Light ITC (TrueType)","ERASLGHT.TTF"
"Eras Medium ITC (TrueType)","ERASMD.TTF"
"Felix Titling (TrueType)","FELIXTI.TTF"
"Footlight MT Light (TrueType)","FTLTLT.TTF"
"Forte (TrueType)","FORTE.TTF"
"Franklin Gothic Book (TrueType)","FRABK.TTF"
"Franklin Gothic Book Italic (TrueType)","FRABKIT.TTF"
"Franklin Gothic Demi (TrueType)","FRADM.TTF"
"Franklin Gothic Demi Cond (TrueType)","FRADMCN.TTF"
"Franklin Gothic Demi Italic (TrueType)","FRADMIT.TTF"
"Franklin Gothic Heavy (TrueType)","FRAHV.TTF"
"Franklin Gothic Heavy Italic (TrueType)","FRAHVIT.TTF"
"Franklin Gothic Medium (TrueType)","framd.ttf"
"Franklin Gothic Medium Cond (TrueType)","FRAMDCN.TTF"
"Franklin Gothic Medium Italic (TrueType)","framdit.ttf"
"Freestyle Script (TrueType)","FREESCPT.TTF"
"French Script MT (TrueType)","FRSCRIPT.TTF"
"FZShuTi (TrueType)","FZSTK.TTF"
"FZYaoTi (TrueType)","FZYTK.TTF"
"Gabriola (TrueType)","Gabriola.ttf"
"Gadugi (TrueType)","gadugi.ttf"
"Gadugi Bold (TrueType)","gadugib.ttf"
"Garamond (TrueType)","GARA.TTF"
"Garamond Bold (TrueType)","GARABD.TTF"
"Garamond Italic (TrueType)","GARAIT.TTF"
"Georgia (TrueType)","georgia.ttf"
"Georgia Bold (TrueType)","georgiab.ttf"
"Georgia Bold Italic (TrueType)","georgiaz.ttf"
"Georgia Italic (TrueType)","georgiai.ttf"
"Gigi (TrueType)","GIGI.TTF"
"Gill Sans MT (TrueType)","GIL_____.TTF"
"Gill Sans MT Bold (TrueType)","GILB____.TTF"
